in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts
23,0,18,0,33
190,104,147,18,63
8,1,13,0,0
22,7,11,0,78
4,11,5,1,2
16,15,5,0,1
166,42,199,16,58
30,84,88,1,28
240,98,468,3,10
67,84,46,16,117
29,9,12,0,52
5,48,2,1,9
19,29,21,0,0
81,27,66,9,444
37,88,9,0,14
28,57,43,8,85
23,2,21,0,0
20,68,50,0,22
21,0,386,0,
52,66,55,1,16
44,19,135,0,6
71,53,181,0,10
231,37,"1,509",0,13
122,94,"1,992",0,18
27,27,29,1,1
0,0,0,0,0
20,8,30,2,0
72,64,64,6,3
23,71,14,0,9
39,0,"7,341",0,0
32,18,39,2,0
22,82,8,0,9
11,58,5,0,21
108,16,197,3,165
4,20,0,0,0
22,101,0,0,66
29,3,18,0,19
11,54,0,0,103
61,6,48,0,150
49,23,110,0,8
4,6,0,0,23
15,17,0,0,0
11,101,0,0,48
32,3,9,0,0
30,15,34,2,47
14,35,1,0,0
45,11,20,0,21
1,10,1,0,1
59,100,58,13,2
11,15,14,3,1
20,119,12,2,7
66,26,277,3,734
118,34,150,4,19
6,15,0,0,0
11,24,7,1,7
16,53,1,0,61
63,0,"6,808",2,0
20,1,71,2,0
12,2,13,0,4
94,21,80,15,38
20,64,35,6,0
16,19,21,3,4
6,1,21,0,1
122,88,580,21,10
7,0,203,0,2
26,69,73,2,6
177,109,305,3,5
19,59,18,5,52
57,4,48,0,0
45,115,218,1,221
0,0,25,0,0
5,9,0,0,0
24,94,9,0,23
53,7,56,3,1
11,80,1,0,8
74,113,85,9,2
0,0,0,0,0
2,10,0,0,0
105,41,114,1,59
86,1,49,0,9
88,24,101,7,451
23,95,11,0,3
27,0,28,13,0
15,40,21,1,15
71,95,31,0,2
129,31,212,1,41
113,17,208,0,192
47,60,87,12,124
113,92,259,0,1
9,1,12,4,3
107,44,750,22,
13,78,2,0,0
12,1,11,0,8
69,76,335,0,
11,78,35,0,21
124,66,212,13,1
33,7,53,2,0
68,89,65,0,25
136,24,"1,959",0,30
82,1,231,0,2
21,79,2,0,0
537,122,"2,726",6,
12,56,13,0,13
57,119,77,1,13
128,84,75,0,35
532,77,"1,535",3,8
1,9,3,0,0
27,64,66,1,4
300,47,690,0,
78,21,240,1,52
43,53,134,1,32
54,32,66,2,0
14,1,50,0,0
72,97,58,0,154
22,51,12,0,0
38,45,36,16,0
57,44,183,1,11
9,0,15,0,1
39,45,27,0,1
